13A,motor neuron,weight,query,post_id,n,id.x,names.x,id.y,X,id,valid,classification_system,pt_supervoxel_id,pt_root_id,pt_position
13A-R-7a,tergotrochanter_in_thorax_0,5,648518346475595904,648518346494871218,1,648518346485984904,R13A9d,648518346475595904,122,410,t,V3_T1R,73889999757696699,648518346494871218,[54174 85748  1791]
13A-R-8c,tergotrochanter_in_thorax_0,39,648518346495525199,648518346494871218,1,648518346477725079,R13A8c,648518346495525199,122,410,t,V3_T1R,73889999757696699,648518346494871218,[54174 85748  1791]
13A-R-8e,tergotrochanter_in_thorax_0,8,648518346486416008,648518346494871218,1,648518346495607915,R13A8b,648518346486416008,122,410,t,V3_T1R,73889999757696699,648518346494871218,[54174 85748  1791]
13A-R-8d,tergotrochanter_in_thorax_0,22,648518346477160720,648518346494871218,1,648518346493704952,R13A8a,648518346477160720,122,410,t,V3_T1R,73889999757696699,648518346494871218,[54174 85748  1791]
13A-R-10a,tergotrochanter_in_thorax_0,27,648518346488772686,648518346494871218,1,648518346521464057,R13A11b,648518346488772686,122,410,t,V3_T1R,73889999757696699,648518346494871218,[54174 85748  1791]
13A-R-9d,tergotrochanter_in_thorax_0,41,648518346491635142,648518346494871218,1,648518346514069982,R13A_γ_6,648518346491635142,122,410,t,V3_T1R,73889999757696699,648518346494871218,[54174 85748  1791]
13A-R-9d,sternal_posterior_rotator_in_thorax_miller_32,19,648518346491635142,648518346483405732,1,648518346514069982,R13A_γ_6,648518346491635142,28,351,t,A1_T1R,74242874740635376,648518346480802781,[ 64871 116643   2615]
13A-R-9e,sternal_posterior_rotator_in_thorax_miller_32,10,648518346502495059,648518346484698013,1,648518346485791614,R13A11h_10a,648518346502495059,50,350,t,A1_T1R,74102136983590282,648518346484698013,[ 59659 115855   2065]
13A-R-9e,pleural_remotor_and_abductor_in_thorax_miller_29,4,648518346502495059,648518346489600015,1,648518346485791614,R13A11h_10a,648518346502495059,53,353,t,A4_T1R,73960437422964960,648518346489600015,[55720 87565  2151]
13A-R-β-10g,pleural_remotor_and_abductor_in_thorax_miller_29,6,648518346499550555,648518346489600015,1,648518346486482097,R13A_β_5,648518346499550555,53,353,t,A4_T1R,73960437422964960,648518346489600015,[55720 87565  2151]
13A-R-6a,pleural_remotor_and_abductor_in_thorax_miller_29,7,648518346496511829,648518346493922958,1,648518346509900838,R13A_ε_y,648518346496511829,52,352,t,A4_T1R,73819700001644126,648518346493922958,[52291 87723  2256]
13A-R-9f,pleural_remotor_and_abductor_in_thorax_miller_29,4,648518346486686340,648518346493922958,1,648518346480868573,R13A11i_10d,648518346486686340,52,352,t,A4_T1R,73819700001644126,648518346493922958,[52291 87723  2256]
13A-R-5e,pleural_remotor_and_abductor_in_thorax_miller_29,8,648518346488798392,648518346493922958,1,648518346475882978,R13A6c,648518346488798392,52,352,t,A4_T1R,73819700001644126,648518346493922958,[52291 87723  2256]
13A-R-9e,pleural_remotor_and_abductor_in_thorax_miller_29,14,648518346502495059,648518346493922958,1,648518346485791614,R13A11h_10a,648518346502495059,52,352,t,A4_T1R,73819700001644126,648518346493922958,[52291 87723  2256]
13A-R-10d,pleural_remotor_and_abductor_in_thorax_miller_29,9,648518346487938004,648518346493922958,1,648518346496642050,R13A11a,648518346487938004,52,352,t,A4_T1R,73819700001644126,648518346493922958,[52291 87723  2256]
13A-R-β-10g,pleural_remotor_and_abductor_in_thorax_miller_29,4,648518346499550555,648518346493922958,1,648518346486482097,R13A_β_5,648518346499550555,52,352,t,A4_T1R,73819700001644126,648518346493922958,[52291 87723  2256]
13A-R-3g,trochanter_promotor_in_coxa,10,648518346496143050,648518346490347530,1,648518346481342821,R13A_3a_X,648518346496143050,98,401,t,L3_T1R,73819631349233966,648518346490347530,[53178 84262  2372]
13A-R-3g,trochanter_promotor_in_coxa,16,648518346496143050,648518346512131374,1,648518346481342821,R13A_3a_X,648518346496143050,99,402,t,L3_T1R,73749400178299722,648518346512131374,[49394 89755  2660]
13A-R-10b,trochanter_extensor_in_coxa_Lg,4,648518346486451113,648518346486394504,1,648518346518664927,13A-uk3,648518346486451113,103,406,t,L5_T1R,74101930624079446,648518346489611133,[ 60830 108620   1721]
13A-R-7a,trochanter_extensor_in_coxa_Lg,8,648518346475595904,648518346486394504,1,648518346485984904,R13A9d,648518346475595904,103,406,t,L5_T1R,74101930624079446,648518346489611133,[ 60830 108620   1721]
13A-R-3b,trochanter_extensor_in_coxa_Lg,16,648518346507220040,648518346493661944,1,648518346478623828,R13A5c,648518346507220040,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-9i,trochanter_extensor_in_coxa_Lg,29,648518346524266501,648518346493661944,1,648518346489624671,R13A10g,648518346524266501,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-6a,trochanter_extensor_in_coxa_Lg,48,648518346496511829,648518346493661944,1,648518346509900838,R13A_ε_y,648518346496511829,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-10b,trochanter_extensor_in_coxa_Lg,17,648518346486451113,648518346493661944,1,648518346518664927,13A-uk3,648518346486451113,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-3j,trochanter_extensor_in_coxa_Lg,7,648518346481824415,648518346493661944,1,648518346509725754,R13A5b,648518346481824415,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-8b,trochanter_extensor_in_coxa_Lg,8,648518346497197720,648518346493661944,1,648518346475292513,R13A8e_7c,648518346497197720,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-1e,trochanter_extensor_in_coxa_Lg,9,648518346477815703,648518346493661944,1,648518346491510244,R13A1a_12f,648518346477815703,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-1c,trochanter_extensor_in_coxa_Lg,11,648518346493289500,648518346493661944,1,648518346496363349,R13A2b,648518346493289500,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-9g,trochanter_extensor_in_coxa_Lg,12,648518346467397383,648518346493661944,1,648518346495770187,R13A10c,648518346467397383,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-9h,trochanter_extensor_in_coxa_Lg,14,648518346501542232,648518346493661944,1,648518346501251427,R13A10e,648518346501542232,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-1f,trochanter_extensor_in_coxa_Lg,6,648518346511460661,648518346493661944,1,648518346477678350,13A-uk6,648518346511460661,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-7a,trochanter_extensor_in_coxa_Lg,32,648518346475595904,648518346493661944,1,648518346485984904,R13A9d,648518346475595904,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-8d,trochanter_extensor_in_coxa_Lg,6,648518346477160720,648518346493661944,1,648518346493704952,R13A8a,648518346477160720,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-9b,trochanter_extensor_in_coxa_Lg,14,648518346511967856,648518346493661944,1,648518346487640386,R13A10f,648518346511967856,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-1d,trochanter_extensor_in_coxa_Lg,24,648518346504903795,648518346493661944,1,648518346490552829,R13A2d,648518346504903795,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-8e,trochanter_extensor_in_coxa_Lg,4,648518346486416008,648518346493661944,1,648518346495607915,R13A8b,648518346486416008,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-7c,trochanter_extensor_in_coxa_Lg,10,648518346481935037,648518346493661944,1,648518346489031913,R13A9c,648518346481935037,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-α-10f,trochanter_extensor_in_coxa_Lg,5,648518346493805304,648518346493661944,1,648518346493805304,R13A-α,648518346493805304,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-8c,trochanter_extensor_in_coxa_Lg,17,648518346495525199,648518346493661944,1,648518346477725079,R13A8c,648518346495525199,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-10a,trochanter_extensor_in_coxa_Lg,40,648518346488772686,648518346493661944,1,648518346521464057,R13A11b,648518346488772686,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-3i,trochanter_extensor_in_coxa_Lg,9,648518346502499667,648518346493661944,1,648518346492512953,R13A3h_12e,648518346502499667,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-3a,trochanter_extensor_in_coxa_Lg,16,648518346496910338,648518346493661944,1,648518346482787237,R13A5a,648518346496910338,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-1a,trochanter_extensor_in_coxa_Lg,4,648518346489892300,648518346493661944,1,648518346479171473,R13A2a,648518346489892300,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-1b,trochanter_extensor_in_coxa_Lg,12,648518346491127843,648518346493661944,1,648518346477855957,R13A2c,648518346491127843,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-2a,trochanter_extensor_in_coxa_Lg,4,648518346489943859,648518346493661944,1,648518346489775959,R13A13a_11f,648518346489943859,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-δ-10e,trochanter_extensor_in_coxa_Lg,18,648518346490237905,648518346493661944,1,648518346489562711,R13A_δ_xp,648518346490237905,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-6b,trochanter_extensor_in_coxa_Lg,5,648518346507405599,648518346493661944,1,648518346485868484,R13A7b,648518346507405599,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-3h,trochanter_extensor_in_coxa_Lg,5,648518346480697857,648518346493661944,1,648518346496041162,13A-uk2,648518346480697857,102,405,t,L4_T1R,73819700135819297,648518346493661944,[52767 86951  2487]
13A-R-3g,trochanter_flexor_in_coxa_Vn,17,648518346496143050,648518346494836658,1,648518346481342821,R13A_3a_X,648518346496143050,105,408,t,V1_T1R,73889999959270933,648518346494836658,[54616 85905  2127]
13A-R-3g,trochanter_flexor_in_coxa_Vn,15,648518346496143050,648518346502068297,1,648518346481342821,R13A_3a_X,648518346496143050,106,409,t,V1_T1R,73890206251737467,648518346471677083,[54536 90225  2333]
13A-R-3g,trochanter_flexor_in_coxa_Vn,48,648518346496143050,648518346503919200,1,648518346481342821,R13A_3a_X,648518346496143050,104,407,t,V1_T1R,73960506276574569,648518346503919200,[55830 89982  2400]
13A-R-9f,trochanter_flexor_in_coxa_Vn,5,648518346486686340,648518346503919200,1,648518346480868573,R13A11i_10d,648518346486686340,104,407,t,V1_T1R,73960506276574569,648518346503919200,[55830 89982  2400]
13A-R-10c,trochanter_flexor_in_coxa_Vn,6,648518346492130066,648518346503919200,1,648518346487562452,13A-uk5,648518346492130066,104,407,t,V1_T1R,73960506276574569,648518346503919200,[55830 89982  2400]
13A-R-3g,trochanter_flexor_in_coxa_AcPst,36,648518346496143050,648518346520515638,1,648518346481342821,R13A_3a_X,648518346496143050,55,355,t,A2_T1R,74172506063635619,648518346520515638,[ 62839 114736   2779]
13A-R-9e,trochanter_flexor_in_coxa_Ac,7,648518346502495059,648518346477553166,1,648518346485791614,R13A11h_10a,648518346502495059,59,359,t,A3_T1R,73749400111040523,648518346477553166,[50277 89558  2464]
13A-R-10c,trochanter_flexor_in_coxa_Ac,4,648518346492130066,648518346477553166,1,648518346487562452,13A-uk5,648518346492130066,59,359,t,A3_T1R,73749400111040523,648518346477553166,[50277 89558  2464]
13A-R-3g,trochanter_flexor_in_coxa_Ac,99,648518346496143050,648518346477553166,1,648518346481342821,R13A_3a_X,648518346496143050,59,359,t,A3_T1R,73749400111040523,648518346477553166,[50277 89558  2464]
13A-R-3g,trochanter_flexor_in_coxa_Ac,17,648518346496143050,648518346490913569,1,648518346481342821,R13A_3a_X,648518346496143050,57,357,t,A3_T1R,73889931172615514,648518346490913569,[53952 83831  2023]
13A-R-3g,trochanter_flexor_in_coxa_Ac,26,648518346496143050,648518346499527237,1,648518346481342821,R13A_3a_X,648518346496143050,58,358,t,A3_T1R,73960437355884126,648518346499527237,[55403 87512  2040]
13A-R-6b,femur_reductor_in_trochanter,7,648518346507405599,648518346488884209,1,648518346485868484,R13A7b,648518346507405599,91,394,t,L2_T1R,73608525183925532,648518346486618829,[46927 85388  2543]
13A-R-5c,femur_reductor_in_trochanter,6,648518346515388743,648518346488884209,1,648518346496985496,R13A6f,648518346515388743,91,394,t,L2_T1R,73608525183925532,648518346486618829,[46927 85388  2543]
13A-R-5d,femur_reductor_in_trochanter,4,648518346503212667,648518346488884209,1,648518346479366363,R13A6b,648518346503212667,91,394,t,L2_T1R,73608525183925532,648518346486618829,[46927 85388  2543]
13A-R-5b,femur_reductor_in_trochanter,16,648518346492510147,648518346488884209,1,648518346496702332,R13A6d,648518346492510147,91,394,t,L2_T1R,73608525183925532,648518346486618829,[46927 85388  2543]
13A-R-5a,femur_reductor_in_trochanter,15,648518346486371464,648518346488884209,1,648518346486371464,R13A4a,648518346486371464,91,394,t,L2_T1R,73608525183925532,648518346486618829,[46927 85388  2543]
