"pre_id","query","weight","n","id.x","names.x","id.y","names.y","Name"
"648518346486604721","648518346499550555",20,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-1d"
"648518346486604721","648518346493805304",13,1,"648518346493805304","R13A-α","648518346493805304","13A-R-α-10f","13B-R-1d"
"648518346486612449","648518346499550555",8,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-4g"
"648518346486913507","648518346493805304",5,1,"648518346493805304","R13A-α","648518346493805304","13A-R-α-10f","13B-R-1e"
"648518346486913507","648518346499550555",24,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-1e"
"648518346486913507","648518346486451113",5,1,"648518346518664927","13A-uk3","648518346486451113","13A-R-10b","13B-R-1e"
"648518346488885853","648518346499550555",14,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-2d"
"648518346488885853","648518346493805304",7,1,"648518346493805304","R13A-α","648518346493805304","13A-R-α-10f","13B-R-2d"
"648518346489035242","648518346491635142",7,1,"648518346514069982","R13A_γ_6","648518346491635142","13A-R-9d","13B-R-9a"
"648518346489634764","648518346492108683",5,1,"648518346500412376","R13A9b","648518346492108683","13A-R-7b","13B-R-10e"
"648518346489634764","648518346496143050",10,1,"648518346481342821","R13A_3a_X","648518346496143050","13A-R-3g","13B-R-10e"
"648518346491055395","648518346491635142",10,1,"648518346514069982","R13A_γ_6","648518346491635142","13A-R-9d","13B-R-4c"
"648518346491055651","648518346499550555",7,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-2a"
"648518346491055651","648518346502495059",4,1,"648518346485791614","R13A11h_10a","648518346502495059","13A-R-9e","13B-R-2a"
"648518346491055651","648518346488772686",7,1,"648518346521464057","R13A11b","648518346488772686","13A-R-10a","13B-R-2a"
"648518346491055651","648518346486451113",22,1,"648518346518664927","13A-uk3","648518346486451113","13A-R-10b","13B-R-2a"
"648518346491540392","648518346493805304",9,1,"648518346493805304","R13A-α","648518346493805304","13A-R-α-10f","13B-R-2g"
"648518346491540392","648518346499550555",5,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-2g"
"648518346491540392","648518346495525199",8,1,"648518346477725079","R13A8c","648518346495525199","13A-R-8c","13B-R-2g"
"648518346491540392","648518346486451113",7,1,"648518346518664927","13A-uk3","648518346486451113","13A-R-10b","13B-R-2g"
"648518346491540392","648518346486416008",7,1,"648518346495607915","R13A8b","648518346486416008","13A-R-8e","13B-R-2g"
"648518346491540392","648518346477160720",4,1,"648518346493704952","R13A8a","648518346477160720","13A-R-8d","13B-R-2g"
"648518346491540392","648518346491635142",9,1,"648518346514069982","R13A_γ_6","648518346491635142","13A-R-9d","13B-R-2g"
"648518346491747134","648518346499550555",4,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-2h"
"648518346492013963","648518346499550555",15,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-2c"
"648518346494421874","648518346493805304",17,1,"648518346493805304","R13A-α","648518346493805304","13A-R-α-10f","13B-R-4i"
"648518346494421874","648518346499550555",22,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-4i"
"648518346494421874","648518346486451113",18,1,"648518346518664927","13A-uk3","648518346486451113","13A-R-10b","13B-R-4i"
"648518346495388598","648518346486451113",5,1,"648518346518664927","13A-uk3","648518346486451113","13A-R-10b","13B-R-10a"
"648518346495913547","648518346491635142",7,1,"648518346514069982","R13A_γ_6","648518346491635142","13A-R-9d","13B-R-2i"
"648518346495913547","648518346493805304",9,1,"648518346493805304","R13A-α","648518346493805304","13A-R-α-10f","13B-R-2i"
"648518346495913547","648518346477160720",4,1,"648518346493704952","R13A8a","648518346477160720","13A-R-8d","13B-R-2i"
"648518346495913547","648518346499550555",6,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-2i"
"648518346496723324","648518346499550555",15,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-4f"
"648518346496724348","648518346499550555",22,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-4h"
"648518346496724348","648518346486451113",12,1,"648518346518664927","13A-uk3","648518346486451113","13A-R-10b","13B-R-4h"
"648518346500527576","648518346496143050",14,1,"648518346481342821","R13A_3a_X","648518346496143050","13A-R-3g","13B-R-10g"
"648518346511706992","648518346499550555",16,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-2e"
"648518346511706992","648518346486686340",4,1,"648518346480868573","R13A11i_10d","648518346486686340","13A-R-9f","13B-R-2e"
"648518346511706992","648518346493805304",14,1,"648518346493805304","R13A-α","648518346493805304","13A-R-α-10f","13B-R-2e"
"648518346518812383","648518346499550555",16,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-1h"
